Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Longitude,Latitude
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,3,17,16.1,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,9,74,23.6,Worse,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,5,9,48.9,Worse,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,4,65,15.2,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,5,83,4.6,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,2,111,2.1,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0,31,0,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,2,76,3,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0,10,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,5,107,11.6,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,2,5,29.3,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,3,102,6.1,As Expected,-122.253,37.76266
